"BATCH_FILE","ITEM","BLOCKS_SEEN","NUMBER_VERDICT","WAY_UP","PHOTO_NOTES","WORDS_VERDICT","WORDS_NOTE","NAME_VERDICT","NAME_NOTE","OTHER_PROBLEMS","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_01-10__READER_A.json","3","003","MATCHES","1:UPRIGHT","1=[003] Loose-leaf 'First draft' of Summer's the time, heavy circled crossouts and syllable counts. The turned copy is upright.","TYPED WORDS INCLUDE A SHEET NOT PICTURED","Only the first-draft sheet is pictured. The typed clean version ('SUMMER'S THE TIME' second block) and the third block 'Waiting... Searching... For the love of my life' (a different song about pages turning / ex-wife) are on no photo here.","OK","Sheet has 'summer's the time' written top right.","Summary says two sheets (shot 13 draft + shot 14 clean version) but only shot 13 is on the card. The 'Waiting... Searching' text looks like another song entirely.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_01-10__READER_A.json","10","010","MATCHES","1:UPRIGHT","1=[010] Loose-leaf sheet, 'Battling to defeat the day', a few scribbled-out lines.","MATCH","Typed words follow the sheet line for line.","OK","First line of the sheet.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_01-10__READER_A.json","22","022","MATCHES","1:UPRIGHT","1=[022] Hole-punched loose-leaf sheet titled 'Leaving your roots', light revisions, 'Sometimes' in left margin.","MATCH","Typed words follow the sheet; 'sometimes' is the margin note.","OK","Title written on the sheet.","Summary says spiral notebook and heavy revisions; photo shows hole-punched loose leaf with only light revisions.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_01-10__READER_A.json","27","026","DIFFERENT NUMBER","1:UPRIGHT","1=[026] Hole-punched loose-leaf sheet, 'When the snowflakes cover the ground', clean copy.","MATCH","Typed words match the sheet.","OK","First line of the sheet.","Photo 1 blocks clearly read 0-2-6 = item 26, not 27. This photo belongs to number 26. (Next card 28 shows blocks 027 - looks like an off-by-one shift.)","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_01-10__READER_A.json","28","027","DIFFERENT NUMBER","1:UPRIGHT 2:UPRIGHT 3:UPRIGHT","1=[027] Both sheets of 'IN THE POURING RAIN' laid together (decorated title sheet on top, second sheet below). || 2=[027] Sheet 1: decorated title 'IN THE POURING RAIN', 'Look into my heart / Look inside your soul...'. || 3=[027] Sheet 2: 'With the angel inside you ... In the pouring rain'.","SHEET WORDS NOT TYPED","Typed words are only 6 lines ('I could live for you ... In the pouring rain'). Nearly all of sheet 1 (photo 2) and most of sheet 2 (photo 3: 'With the angel inside you', 'Since I met you') are not typed.","OK","Decorated title on sheet 1.","All three photos show blocks 0-2-7 = item 27, not 28. These photos belong to number 27. Summary says spiral notebook; sheets look like loose leaf.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_01-10__READER_A.json","31","031","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[031] Loose-leaf sheet 1, 'When I'm with you I never want to say good bye'. || 2=[031] Sheet 2, 'I offer my bed as I offer my hand ... this will just be a song'.","MATCH","Both sheets typed, line for line.","OK","First line of sheet 1.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_01-10__READER_A.json","33","033","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[033] Loose-leaf sheet titled 'Blessing In Disguise', verse 1 bracketed; bracket 2 is empty. || 2=[033] Second sheet, boxed couplets, rhyme list down left margin, 'Blessing in disguise' at bottom.","MATCH","Both sheets typed, including the margin rhyme list.","OK","Title written on sheet 1.","Summary says spiral notebook with house illustration in the title; photos show hole-punched loose leaf with a plain title and no house drawing.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_01-10__READER_A.json","37","037","MATCHES","1:UPRIGHT","1=[037] Spiral-torn sheet, 14 lines 'Just when I (had) thought that the tide had turned ... less is really more'.","TYPED WORDS INCLUDE A SHEET NOT PICTURED","First block matches the photo. The rest ('If I could turn back this clock', 'I guess we call it writer's block', 'could capture this emotion', 'Such a crying shame...') is on no photo here.","OK","First line of the sheet.","Summary contradicts photo: says loose leaf, blue ink, heavy crossouts, AA/BB/CC grid, numbered 6; photo shows spiral-torn sheet, dark ink, light crossouts, no grid, blocks 037.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_01-10__READER_A.json","65","065","MATCHES","1:UPRIGHT","1=[065] Hole-punched loose-leaf sheet, vowel/consonant alphabet at top, 'I've done something I've told myself I'd never, ever do'.","MATCH","Typed words match the sheet (small misreads only, e.g. 'town me around' for 'leaving town / you spun me around').","OK","First line of the lyric.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_01-10__READER_A.json","69","069","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[069] Loose-leaf sheet with decorated title 'CALL IT FATE', three verses (birds circle / cancer / hospital baby boy). || 2=[069] Second sheet in blue ink, alphabet at top, 'Your heart breaks with every tender touch ... after the rain soon comes the sun'.","SHEET WORDS NOT TYPED","Photo 2 is typed in full. Photo 1 is only partly typed as a squashed summary: missing 'One more time won't they leave you alone', 'Just when you thought there was noone to see', 'But unfortunately for you its too late', 'Enter the hospital a dying life / Exit the church a crying wife', the 'You can call it fate' refrains, and the whole third verse ('In the next room of the hospital lies a mother's joy ... why he grew to kill').","OK","Decorated title on photo 1.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_11-20__READER_A.json","71","071","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[071] Cream loose-leaf sheet, cursive, titled Dead End, full song || 2=[071] Second loose-leaf sheet with the 4-line closing verse (I've been down that road, I told you my friend)","MATCH","Typed words match both sheets, including the 4-line coda on sheet 2.","OK","Dead End is the title written on sheet 1.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_11-20__READER_A.json","73","073","MATCHES","1:UPRIGHT 2:UPRIGHT 3:UPRIGHT","1=[073] Sheet 1, cursive, starts Darkness has slowly become my best friend || 2=[073] Sheet 2, starts She must have been foreign; right edge of text cut off by the frame || 3=[073] Sheet 2 again, same page as photo 2, whole page in frame","MATCH","Typed words follow sheet 1 and the start of sheet 2 (cut at 1800 chars for the check). No mismatch seen.","OK","First line of the sheet.","Photos 2 and 3 are the same page shot twice (photo 2 crops the right edge). Summary 'numbered 7 in cards' is an odd note; the blocks read 073.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_11-20__READER_A.json","80","080","MATCHES","1:UPRIGHT","1=[080] Spiral-torn notebook sheet, printed handwriting, 13 lines starting hanging by a rope","MATCH","All 13 lines match.","OK","First line of the sheet.","Summary says 'aged loose leaf, cursive' but the sheet is spiral-torn notebook paper in printed (not cursive) handwriting.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_11-20__READER_A.json","87","087","MATCHES","1:UPRIGHT 2:UPRIGHT","1=[087] Sheet with outlined bubble title FALLEN CLOUDS, full first part down to Dante's Inferno || 2=[087] Sheet headed fallen clouds con't, two verses (clouds crawl past / You can not see their face)","TYPED WORDS INCLUDE A SHEET NOT PICTURED","The first two typed parts match photos 1 and 2. After that the typed words go on with 'The middle isn't forming...', 'I lay on the ground as I feel death's cold eyes...' and 'RAIN FALLING...' (and more past the cut) - none of those are on either photo.","OK","FALLEN CLOUDS is the title written on sheet 1.","","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_11-20__READER_A.json","92","092","MATCHES","1:UPRIGHT","1=[092] Spiral-torn notebook sheet titled SPREADING the word, one song with cross-outs","TYPED WORDS INCLUDE A SHEET NOT PICTURED","Part 1 matches the photo (except the typed text drops the line 'We're the only ones who pay taxes for welfare'). Part 2, starting '11/14/01 9:29 PM Napalm smells like victory', is not on the photo.","OK","Spreading the word is the title written on the sheet.","Summary says 'illustrated title' but the title is plain handwriting.","SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_11-20__READER_A.json","93","093","MATCHES","1:UPRIGHT 2:UPRIGHT 3:UPRIGHT 4:UPRIGHT 5:UPRIGHT 6:UPRIGHT 7:SIDEWAYS","1=[093] Both cursive fair-copy sheets of Smell the Flowers laid one above the other || 2=[093] Cursive sheet 1, title Smell the Flowers, 4 Oh Claridalia verses || 3=[093] Cursive sheet 2, last 3 verses (little ones / cool rain / autumn's moon) || 4=[093] Different copy: spiral-torn sheet in printed hand with bubble title CLARIDALIA WHY NOT?, second sheet peeking below || 5=[093] Printed-hand continuation sheet, last 3 verses with 'or' alternate last line || 6=[093] Rough draft sheet (Oh Olaradalia) with syllable counts 1-4 in the right margin and cross-outs || 7=[NONE] Another draft sheet (Oh Claridalia, two verses) beside a torn note reading FIND MATCHING ITEM and ADD This to it; whole photo lies on its side","SMALL DIFFERENCES","The visible typed words (cut at 1800 chars) are the cursive copy (photos 1-3), apparently typed twice. The printed CLARIDALIA WHY NOT? copy (photos 4-5), the numbered draft (photo 6) and the sideways draft (photo 7) are not in the visible part - check the full text holds them; if not, this is SHEET WORDS NOT TYPED.","OK","Smell the Flowers is the cursive title; Claridalia is the hook on every sheet.","Photo 7 is sideways on the website, has no number blocks, and shows a work note 'FIND MATCHING ITEM and ADD This to it' that a buyer would see. It comes from a different folder (gems-0501-1000) - its link to 093 is not proven by blocks.","FAIRLY SURE"
"G01_SONG_FULL_LYRICS_PAGE_01_OF_03_V10F_W0220__cards_11-20__READER_A.json","99","099","MATCHES","1:UPRIGHT","1=[099] Spiral-torn notebook sheet, no title, 5 verses starting Looking for a role model","TYPED WORDS INCLUDE A SHEET NOT PICTURED","Part 1 (Looking for a role model...) matches the photo. Parts 2 (Another monday morning...) and 3 (Dead Silence on the train...) are on no photo.","NOT FROM THIS SHEET","MIDAS TOUCH is not written anywhere on the pictured sheet. From the sheet it would be 'Looking for a role model'.","","SURE"
